,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,class
0,-397.86472,124.46949,-21.54154,-48.849564,16.483715,36.6015,-6.4991527,-25.834284,-1.2522386,10.178377,-5.218914,-7.345142,10.264649,16.472473,7.895236,5.5313177,6.2877584,-4.182223,-14.012452,-7.7094264,0.4547759,-5.8861904,-13.388045,-6.9823565,1.1916866,-1.7707733,-5.276302,-0.35934502,1.7799568,-4.779073,-6.8897967,0.79337484,4.2686896,-2.5059521,-6.496715,-1.0943556,3.1531215,0.25546533,-2.272549,-0.73324627,3.21
1,-28.83186,58.84716,2.8597407,5.655759,8.596303,4.243945,-1.8330488,6.388166,-4.4283977,6.81813,1.0397999,10.098232,-7.2214017,5.8412004,-1.2156426,6.793329,-3.2796316,5.3446465,-3.005841,4.672793,-0.8421403,4.790146,-2.9202173,2.0762732,-1.2289124,1.5368786,-3.2257068,2.3396897,-1.0656537,2.9557934,0.24348845,2.816896,-0.5162859,2.6525,-0.27801177,0.71381444,-0.5303977,3.0037096,0.23085435,-0.007817352,1.24
2,-259.25623,111.11101,-7.7579193,55.86213,-10.798698,6.997143,-3.360941,-8.473483,-2.4684322,-0.75931793,-9.935302,2.6278963,-0.20056172,8.26854,-1.8801492,-0.7825538,2.7095869,-0.21074663,-0.8193913,4.6375318,-0.5015328,2.165422,-1.9308712,2.7723224,-1.6212953,2.9616065,0.8745711,2.105996,1.5179038,1.1884193,1.6780418,1.7259531,0.8696305,1.8749133,0.87062097,1.3969008,3.5803661,2.457851,1.7915528,3.2596166,4.23
3,-187.19414,46.413277,12.077431,15.885976,-9.141919,12.711984,-9.501037,12.934376,-3.1087146,13.931989,-3.1195338,8.061337,-3.5402238,1.3832414,-4.1068926,2.7237246,-7.952993,5.543779,-4.2155843,4.2817297,-2.1725562,3.2311149,-3.508555,1.6903406,-1.865949,1.3229692,-1.3419647,2.1290567,-0.57423705,1.936212,-1.7499326,1.2930367,-2.1713302,1.7817589,-1.7791727,1.2875798,-2.260829,1.5880054,-1.6814358,0.78950316,3.96
4,-60.35299,94.13064,17.827808,5.2285347,14.579009,3.393843,-2.004921,6.368634,1.6898239,1.7918637,2.2816117,-2.8995633,-1.4772389,-3.5934863,-7.9049945,-3.6353815,-6.0538044,-3.2344372,-4.2485204,-1.74961,-6.9356947,1.1073315,-4.619933,-0.31258976,-6.2300596,-0.5933954,-3.7835345,-0.7789388,-4.8107686,-1.177619,-4.546511,-0.59356123,-3.8665588,0.9891553,-4.3266234,-1.8857245,-3.59668,0.7156288,-2.404687,0.24968868,4.24
5,-335.10205,68.45767,0.09026983,20.12304,8.313305,6.151934,-5.8728843,14.3920555,-13.972582,0.4573202,-11.576162,-4.7103057,-7.350598,0.34176782,-6.643026,-0.0780861,0.8139396,-1.1569222,-1.8500923,0.097768165,0.62708855,-4.7822356,-2.6431289,-2.578471,-3.2457573,-1.4847395,-3.4206903,-1.4160817,-2.294668,0.24612756,-2.7235885,0.6460231,-2.5454395,0.0103339525,-2.3721976,0.45730674,-2.081369,0.3072103,-3.5407474,-0.41820046,4.61
6,-136.47803,89.3232,-21.26302,6.699846,-7.3659296,-40.231213,-4.919319,-8.788072,-0.2189949,-21.324654,-1.1822795,-2.0562556,-5.4731073,8.139413,-1.6258622,6.068218,14.818906,3.5960686,3.30528,3.957666,-7.0655236,9.272794,-3.7275705,5.7605977,-7.9364924,2.0057175,-8.515028,4.817304,-5.2751017,4.558605,-4.914344,4.6158886,-5.110357,10.143111,-5.589538,8.173954,-5.273595,5.733489,-5.7585807,3.831369,2.19
7,-476.92548,144.66663,-16.540722,25.476217,13.81826,8.557328,-4.862008,-7.31613,-3.2836816,-8.102449,-8.031893,-12.634447,-8.042008,-11.112239,-10.08976,-5.730226,-3.5386434,-9.09344,-7.886483,7.138045,-0.44922033,-7.526134,-2.6446097,-0.6384857,-0.94339424,-0.75958025,-1.7140793,-4.3774414,-1.9285285,-2.2544305,-3.9069068,-2.0469596,-0.7358587,-3.151541,-3.5443366,-0.26443446,-1.4597582,-1.4278458,-1.0962993,-0.5195469,3.88
8,22.972548,99.56939,6.08642,16.83859,7.7617683,10.665754,1.3975497,9.93807,-2.491724,6.4833603,4.423921,0.5612075,2.548305,2.4359367,-1.726958,2.1407752,-1.6279335,0.31516823,0.27700534,-1.7352635,-0.010196577,0.90568584,-4.4715776,-0.773915,-5.5896287,-0.9489861,-4.123306,0.15736899,-5.744421,-0.15856141,-7.100724,0.5002701,-3.333294,1.1727351,-3.7011,-0.39281014,-4.6181192,-1.0767152,-4.126629,-0.20899524,1.19
9,-413.23932,238.77701,19.701435,-50.16377,9.976227,29.163036,-16.961359,-25.709768,13.186802,19.150612,-13.42866,-19.07758,5.5670056,8.415851,-10.336643,-9.310277,6.6634073,3.4691024,-10.360383,-6.230141,4.393003,-2.5548105,-12.601834,-4.0431194,7.2864633,0.97087157,-8.269069,-2.5906959,4.975366,0.3687376,-4.502095,0.12781888,2.3433025,-3.8158443,-5.369384,1.5362229,3.1799197,-3.7310636,-6.370531,-1.9997388,1.76
