,0,1,2,3,4,5,6,7,8,9,10,11,class
0,0.36461177,0.34337756,0.27882302,0.48984087,0.58728004,0.33111906,0.35057455,0.40294,0.37982342,0.38546938,0.35827973,0.3449619,3.21
1,0.73692715,0.78053063,0.8284121,0.69147325,0.7788321,0.78980786,0.7072065,0.68226,0.71533084,0.69841474,0.6816864,0.67136836,1.24
2,0.6026393,0.5502096,0.54685634,0.53161436,0.51684576,0.55329144,0.5446182,0.46470034,0.4897291,0.4887608,0.4920089,0.4730969,4.23
3,0.70930165,0.7586834,0.75930315,0.7428623,0.73679054,0.7265206,0.69404596,0.71949005,0.6970106,0.6700389,0.67621076,0.6470782,3.96
4,0.728847,0.74813473,0.79797584,0.8353725,0.8031586,0.7491912,0.6916158,0.68166393,0.6790038,0.6907366,0.6971021,0.6723285,4.24
5,0.45296836,0.39542386,0.4157331,0.39266285,0.4097432,0.5055149,0.5389734,0.5459506,0.52290195,0.5304964,0.5603347,0.5385212,4.61
6,0.31120464,0.3083845,0.36247784,0.38266182,0.31764168,0.30443236,0.35097328,0.36650735,0.4356645,0.37900817,0.37002128,0.34354642,2.19
7,0.4602579,0.58409506,0.6067752,0.578877,0.55252165,0.47618952,0.36510056,0.34849882,0.3335303,0.3686562,0.36649823,0.35466322,3.88
8,0.3806323,0.3952538,0.40040824,0.3875431,0.7080589,0.3875396,0.3705797,0.32863986,0.43261936,0.31361166,0.395304,0.7368247,1.19
9,0.6223422,0.5448992,0.49541354,0.43493652,0.4150588,0.4706687,0.45532936,0.5321364,0.49088705,0.564389,0.677486,0.54332274,1.76
10,0.29625523,0.3642488,0.47406137,0.26785862,0.30769342,0.3702544,0.4566388,0.91383445,0.24012546,0.30808473,0.24560589,0.30626482,3.01
11,0.5849844,0.63909173,0.668968,0.75240487,0.6720393,0.54637736,0.5353058,0.49253172,0.52612907,0.534957,0.5746223,0.56273186,1.96
12,0.545879,0.510265,0.5278245,0.5941583,0.5929167,0.6431092,0.7043305,0.7024064,0.7348779,0.73589164,0.720181,0.6586705,4.84
13,0.53426445,0.5413037,0.59650475,0.5363123,0.5859569,0.81794846,0.6050001,0.86855924,0.7142831,0.59684396,0.69975865,0.4888843,3.2
14,0.48997805,0.5128669,0.45124725,0.40373406,0.4036375,0.37779215,0.38603,0.43253595,0.5013122,0.53667647,0.64090574,0.50352204,1.0
15,0.43460983,0.117297105,0.3084723,0.110567294,0.3950001,0.16055408,0.12627581,0.4937899,0.09587513,0.13256627,0.18896051,0.27120703,3.48
16,0.48848873,0.3492871,0.32964408,0.31285253,0.3395402,0.44483852,0.44735035,0.54598534,0.43508324,0.2692951,0.26839668,0.3568886,1.92
17,0.12146836,0.14410032,0.33198497,0.5359556,0.12169794,0.44463724,0.4110056,0.14922695,0.39681053,0.14147002,0.6751113,0.11151044,4.81
18,0.6317667,0.48239768,0.5079501,0.51337373,0.599475,0.47043434,0.53553253,0.6182437,0.5067152,0.5594554,0.67418253,0.68150294,2.69
